n1,k1,p1,a1,n2,k2,p2,a2,d,lat1,lat2,lat1u,lat2u,test_loss_1,test_loss_2,test_loss_3,m_test_loss,s_test_loss,UCL_test_loss,test_acc_1,test_acc_2,test_acc_3,m_test_acc,s_test_acc,LCL_test_acc
2048,3,2,tanh,512,3,4,relu,0.5,1.3259683,0.4181084,0.968249392,0.709710327,0.090076558,0.075338863,0.059788417,0.075067946,0.015145888,0.094478182,0.980250001,0.981249988,0.98299998,0.98149999,0.001391931,0.979716158
2048,3,4,relu,512,3,4,tanh,0.5,-1.5176314,-1.1513658,0.01470351,0.048522457,0.088260278,0.09059269,0.088053212,0.088968727,0.001410199,0.09077597,0.973249972,0.973500013,0.974250019,0.973666668,0.000520436,0.972999702
2048,5,2,tanh,8,3,2,tanh,0.5,0.33330932,-0.1571957,0.679581564,0.402364751,0.112638764,0.099270806,0.121993832,0.111301134,0.011420417,0.125936987,0.966750026,0.97025001,0.962499976,0.966500004,0.003881062,0.961526223
2048,5,2,tanh,8,5,2,relu,0.25,0.10997817,0.26207626,0.562592322,0.631338722,0.098364867,0.132069215,0.077769354,0.102734479,0.027412385,0.137864864,0.969749987,0.964749992,0.978500009,0.970999996,0.006959715,0.962080762
2048,5,2,tanh,32,3,2,relu,0.5,0.3177216,0.18454942,0.671825262,0.59003656,0.073477387,0.068960354,0.052950107,0.065129283,0.010786572,0.078952831,0.981249988,0.978999972,0.983500004,0.981249988,0.002250016,0.978366476
2048,5,4,tanh,32,5,2,relu,0.5,0.31527752,0.7849972,0.670602282,0.85684326,0.054050162,0.058458656,0.048294816,0.053601211,0.005096771,0.060132987,0.986000001,0.981999993,0.986500025,0.98483334,0.002466454,0.981672452
2048,5,4,tanh,512,3,2,relu,0.5,0.26682708,1.0250038,0.645998182,0.92042654,0.082371861,0.14547877,0.081445366,0.103098666,0.03670517,0.150138234,0.982500017,0.976499975,0.983250022,0.980750005,0.003699688,0.976008664
2048,5,4,tanh,512,5,4,tanh,0.5,0.90747774,-0.80917716,0.896799048,0.122811597,0.055237073,0.062134847,0.047984727,0.055118882,0.007075801,0.064186885,0.983749986,0.982749999,0.986000001,0.984166662,0.001664585,0.982033411
2048,7,2,relu,8,5,4,tanh,0.5,-0.79947156,-0.32158372,0.13417202,0.317022226,0.084076457,0.087046444,0.06803637,0.079719757,0.010226503,0.092825547,0.974749982,0.975000024,0.981999993,0.97725,0.004115514,0.971975756
2048,7,2,relu,128,3,4,tanh,0.5,-0.92164046,-0.33253357,0.100355537,0.311606028,0.038243327,0.044774558,0.036529385,0.03984909,0.004350813,0.045424882,0.987500012,0.985000014,0.988499999,0.987000008,0.001802769,0.984689667
